Subject,Condition,Offroad,MathScore
1,audio,0.063296263,0.133451957
1,none,0.036073712,0.263256863
1,haptic,0.03116772,0.142653352
1,visual,0.050677717,0.125891733
2,audio,0.011359196,0.307005303
2,haptic,0.011052046,0.333982744
2,none,0.009193863,0.19525802
2,visual,0.015532388,0.166805671
3,visual,0.042377469,0.195074372
3,none,0.09255618,0.17875383
3,audio,0.066675603,0.219351694
3,haptic,0.055637357,0.28616025
4,none,0.061270787,0.421940928
4,audio,0.065388009,0.363353231
4,visual,0.057079897,0.43814433
4,haptic,0.049597452,0.484076433
5,haptic,0.137367374,0.044208665
5,visual,0.084053548,0.240963855
5,audio,0.14996081,0.261267146
5,none,0.097712578,0.244498778
6,none,0.082817869,0.079302141
6,visual,0.105981693,0.04576659
6,haptic,0.06682243,-0.02596054
6,audio,0.031953229,0.15944725
7,haptic,0.079373729,0.18300122
7,audio,0.030293663,0.33119894
7,none,0.09224307,0.298507463
7,visual,0.055689484,0.198412698
8,visual,0.02616145,0.164744646
8,none,0.088526668,0.287012676
8,haptic,0.031436797,0.246778174
8,audio,0.026570645,0.356652949
9,none,0.089194831,0.32306163
9,visual,0.072227854,0.242397532
9,haptic,0.118321444,0.209819555
9,audio,0.062744223,0.236344538
10,none,0.035159065,0.383288616
10,haptic,0.034251288,0.312729948
10,visual,0.020251037,0.497925311
10,audio,0.018084936,0.480769231
11,visual,0.024667137,0.494001411
11,none,0.021384579,0.423131171
11,audio,0.068883333,0.333333333
11,haptic,0.016036846,0.561671534
12,haptic,0.031840108,0.298102981
12,audio,0.018717532,0.324675325
12,none,0.018809917,0.385674931
12,visual,0.008330606,0.327332242
13,none,0.044835144,0.266819135
13,audio,0.07994842,0.085966043
13,visual,0.058111776,0.259481038
13,haptic,0.072212184,0.231642344
14,audio,0.055308578,0.017190992
14,haptic,0.060046848,0.019519813
14,none,0.031442556,0.203176949
14,visual,0.03548094,0.039502271
15,audio,0.114904527,0.042909247
15,none,0.035118582,0.115127792
15,visual,0.074200078,0.116776956
15,haptic,0.035443065,0.214041096
16,none,0.099313355,0.070788108
16,haptic,0.01811984,0.165133286
16,visual,0.047720549,0.369783413
16,audio,0.044489532,0.491082967
17,none,0.083579538,0.195745791
17,haptic,0.019284348,0.19126554
17,audio,0.064528266,0.037814332
17,visual,0.117755276,-0.021317416
